phase,vehicle,startTime,moves,rewardsCollected,obstaclesHit,routeTaken,actions,lastValidKeyTime,hits,endTime,totalTime,sessionId,prolificId,studyId,trial,vehicleType,vehicleSize,vehicleColor,plan_seq,plan_rt_ms,raw_input_seq,translated_seq,valid_generalization,correctness_generalization,correctHL,correctLL,generalized_correctness_topdown,generalized_correctness_leftright,bias_second_order_valid,bias_second_order_correct,type_generalization,optimalRoute,dangerous_vehicle,worry,somatic_anxiety
0,"{""type"":""car"",""size"":""small"",""upKey"":""w"",""downKey"":""x"",""leftKey"":""a"",""rightKey"":""d"",""keys"":{""up"":""w"",""down"":""x"",""left"":""a"",""right"":""d""},""color"":""red"",""x"":0,""y"":2}",1.75199E+12,"[{""direction"":""left"",""fromPosition"":{""x"":2,""y"":0},""toPosition"":{""x"":1,""y"":0},""time"":9121},{""direction"":""down"",""fromPosition"":{""x"":1,""y"":0},""toPosition"":{""x"":1,""y"":1},""time"":9419},{""direction"":""left"",""fromPosition"":{""x"":1,""y"":1},""toPosition"":{""x"":0,""y"":1},""time"":9704},{""direction"":""down"",""fromPosition"":{""x"":0,""y"":1},""toPosition"":{""x"":0,""y"":2},""time"":9929}]",2,0,"[""left"",""down"",""left"",""down""]","[{""key"":""a"",""direction"":""left"",""rt"":9121,""time"":9121},{""key"":""x"",""direction"":""down"",""rt"":298,""time"":9419},{""key"":""a"",""direction"":""left"",""rt"":285,""time"":9704},{""key"":""x"",""direction"":""down"",""rt"":225,""time"":9929}]",1.75199E+12,"[""reward"",""reward""]",1.75199E+12,9932,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,,,,,,,,,,,,,,,,,,[],big_sedan,18,17
1,,,,4,0,"[""down"",""left"",""up"",""left""]",,,"[""reward"",""reward"",""reward"",""reward""]",,7514,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,1,small_sedan,small,#822cd1,,,,,,,,,,,,,,"[""down"",""left"",""up"",""left""]",big_sedan,18,17
1,,,,4,0,"[""up"",""left"",""down"",""down""]",,,"[""reward"",""reward"",""reward"",""reward""]",,11824,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,2,big_sedan,big,#822cd1,,,,,,,,,,,,,,"[""up"",""left"",""down"",""down""]",big_sedan,18,17
1,,,,4,0,"[""right"",""up"",""left"",""left""]",,,"[""reward"",""reward"",""reward"",""reward""]",,7320,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,3,small_sedan,small,#822cd1,,,,,,,,,,,,,,"[""right"",""up"",""left"",""left""]",big_sedan,18,17
1,,,,4,0,"[""left"",""left"",""up"",""up""]",,,"[""reward"",""reward"",""reward"",""reward""]",,5296,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,4,small_car,small,#2ca02c,,,,,,,,,,,,,,"[""left"",""left"",""up"",""up""]",big_sedan,18,17
1,,,,4,0,"[""down"",""down"",""right"",""up""]",,,"[""reward"",""reward"",""reward"",""reward""]",,10304,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,5,big_car,big,#822cd1,,,,,,,,,,,,,,"[""down"",""right"",""down"",""left""]",big_sedan,18,17
1,,,,4,0,"[""up"",""right"",""up"",""right""]",,,"[""reward"",""reward"",""reward"",""reward""]",,5507,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,6,small_sedan,small,#822cd1,,,,,,,,,,,,,,"[""up"",""right"",""up"",""right""]",big_sedan,18,17
1,,,,4,0,"[""down"",""down"",""right"",""up""]",,,"[""reward"",""reward"",""reward"",""reward""]",,7350,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,7,small_car,small,#2ca02c,,,,,,,,,,,,,,"[""down"",""right"",""down"",""left""]",big_sedan,18,17
1,,,,4,0,"[""right"",""up"",""up"",""left""]",,,"[""reward"",""reward"",""reward"",""reward""]",,9361,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,8,big_sedan,big,#822cd1,,,,,,,,,,,,,,"[""right"",""up"",""up"",""left""]",big_sedan,18,17
1,,,,4,0,"[""right"",""up"",""left"",""left""]",,,"[""reward"",""reward"",""reward"",""reward""]",,6148,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,9,big_sedan,big,#822cd1,,,,,,,,,,,,,,"[""right"",""up"",""left"",""left""]",big_sedan,18,17
1,,,,4,0,"[""down"",""right"",""up"",""right""]",,,"[""reward"",""reward"",""reward"",""reward""]",,6484,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,10,big_sedan,big,#822cd1,,,,,,,,,,,,,,"[""down"",""right"",""up"",""right""]",big_sedan,18,17
1,,,,4,0,"[""right"",""down"",""left"",""left""]",,,"[""reward"",""reward"",""reward"",""reward""]",,3030,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,11,big_sedan,big,#822cd1,,,,,,,,,,,,,,"[""right"",""down"",""left"",""left""]",big_sedan,18,17
1,,,,4,0,"[""up"",""up"",""left"",""down""]",,,"[""reward"",""reward"",""reward"",""reward""]",,7472,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,12,small_car,small,#ebeb5e,,,,,,,,,,,,,,"[""up"",""left"",""up"",""right""]",big_sedan,18,17
1,,,,4,0,"[""right"",""right"",""down"",""left""]",,,"[""reward"",""reward"",""reward"",""reward""]",,4740,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,13,big_sedan,big,#822cd1,,,,,,,,,,,,,,"[""right"",""right"",""down"",""left""]",big_sedan,18,17
1,,,,4,0,"[""right"",""down"",""down"",""left""]",,,"[""reward"",""reward"",""reward"",""reward""]",,7951,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,14,small_sedan,small,#822cd1,,,,,,,,,,,,,,"[""right"",""down"",""down"",""left""]",big_sedan,18,17
1,,,,4,0,"[""up"",""left"",""down"",""down""]",,,"[""reward"",""reward"",""reward"",""reward""]",,6376,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,15,big_car,big,#FF99CC,,,,,,,,,,,,,,"[""up"",""left"",""down"",""down""]",big_sedan,18,17
1,,,,4,0,"[""right"",""down"",""down"",""left""]",,,"[""reward"",""reward"",""reward"",""reward""]",,5613,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,16,small_sedan,small,#822cd1,,,,,,,,,,,,,,"[""right"",""down"",""down"",""left""]",big_sedan,18,17
1,,,,4,0,"[""left"",""left"",""up"",""right""]",,,"[""reward"",""reward"",""reward"",""reward""]",,4426,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,17,small_car,small,#ebeb5e,,,,,,,,,,,,,,"[""left"",""left"",""up"",""right""]",big_sedan,18,17
1,,,,4,0,"[""up"",""left"",""up"",""left""]",,,"[""reward"",""reward"",""reward"",""reward""]",,6735,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,18,big_sedan,big,#822cd1,,,,,,,,,,,,,,"[""up"",""left"",""up"",""left""]",big_sedan,18,17
1,,,,4,0,"[""right"",""up"",""left"",""left""]",,,"[""reward"",""reward"",""reward"",""reward""]",,6015,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,19,big_sedan,big,#822cd1,,,,,,,,,,,,,,"[""right"",""up"",""left"",""left""]",big_sedan,18,17
1,,,,4,0,"[""down"",""left"",""up"",""left""]",,,"[""reward"",""reward"",""reward"",""reward""]",,5057,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,20,small_car,small,#822cd1,,,,,,,,,,,,,,"[""down"",""left"",""up"",""left""]",big_sedan,18,17
1,,,,4,0,"[""down"",""left"",""left"",""up""]",,,"[""reward"",""reward"",""reward"",""reward""]",,5371,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,21,small_car,small,#FF99CC,,,,,,,,,,,,,,"[""down"",""left"",""left"",""up""]",big_sedan,18,17
1,,,,4,0,"[""up"",""up"",""right"",""down""]",,,"[""reward"",""reward"",""reward"",""reward""]",,5088,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,22,big_sedan,big,#822cd1,,,,,,,,,,,,,,"[""up"",""up"",""right"",""down""]",big_sedan,18,17
1,,,,4,0,"[""right"",""down"",""left"",""left""]",,,"[""reward"",""reward"",""reward"",""reward""]",,4757,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,23,small_sedan,small,#822cd1,,,,,,,,,,,,,,"[""right"",""down"",""left"",""left""]",big_sedan,18,17
1,,,,4,0,"[""down"",""down"",""left"",""up""]",,,"[""reward"",""reward"",""reward"",""reward""]",,3963,686d436ff6e46d7e2175abc1,5b90635a877eab0001d7ba9e,686d429798a6ab910e8e7a41,24,small_car,small,#ebeb5e,,,,,,,,,,,,,,"[""down"",""down"",""left"",""up""]",big_sedan,18,17
