phase,vehicle,startTime,moves,rewardsCollected,obstaclesHit,routeTaken,actions,lastValidKeyTime,hits,endTime,totalTime,sessionId,prolificId,studyId,trial,vehicleType,vehicleSize,vehicleColor,plan_seq,plan_rt_ms,raw_input_seq,translated_seq,valid_generalization,correctness_generalization,correctHL,correctLL,generalized_correctness_topdown,generalized_correctness_leftright,bias_second_order_valid,bias_second_order_correct,type_generalization,optimalRoute,dangerous_vehicle,worry,somatic_anxiety
0,"{""type"":""car"",""size"":""small"",""upKey"":""e"",""downKey"":""c"",""leftKey"":""q"",""rightKey"":""w"",""keys"":{""up"":""e"",""down"":""c"",""left"":""q"",""right"":""w""},""color"":""#2ca02c"",""x"":0,""y"":0}",1751816523553,"[{""direction"":""left"",""fromPosition"":{""x"":2,""y"":0},""toPosition"":{""x"":1,""y"":0},""time"":55161},{""direction"":""down"",""fromPosition"":{""x"":1,""y"":0},""toPosition"":{""x"":1,""y"":1},""time"":60607},{""direction"":""left"",""fromPosition"":{""x"":1,""y"":1},""toPosition"":{""x"":0,""y"":1},""time"":62775},{""direction"":""down"",""fromPosition"":{""x"":0,""y"":1},""toPosition"":{""x"":0,""y"":2},""time"":64370}]",2,0,"[""left"",""down"",""left"",""down""]","[{""key"":""q"",""direction"":""left"",""rt"":55161,""time"":55161},{""key"":""c"",""direction"":""down"",""rt"":5446,""time"":60607},{""key"":""q"",""direction"":""left"",""rt"":2168,""time"":62775},{""key"":""c"",""direction"":""down"",""rt"":1595,""time"":64370}]",1751816587923,"[""reward"",""reward""]",1751816587926,64373,686a98267ea25a2fa9f8158e,67eda7cef014b05ef5504c28,686a88d9a373fa0112df081c,,,,,,,,,,,,,,,,,,[],pickup_truck,16,15
1,,,,4,0,"[""right"",""up"",""left"",""left""]",,,"[""reward"",""reward"",""reward"",""reward""]",,20303,686a98267ea25a2fa9f8158e,67eda7cef014b05ef5504c28,686a88d9a373fa0112df081c,1,pickup_truck,medium,#822cd1,,,,,,,,,,,,,,"[""right"",""up"",""left"",""left""]",pickup_truck,16,15
1,,,,4,0,"[""down"",""right"",""right"",""up""]",,,"[""reward"",""reward"",""reward"",""reward""]",,16425,686a98267ea25a2fa9f8158e,67eda7cef014b05ef5504c28,686a88d9a373fa0112df081c,2,big_car,big,#FF5733,,,,,,,,,,,,,,"[""down"",""right"",""right"",""up""]",pickup_truck,16,15
1,,,,4,0,"[""down"",""left"",""down"",""right""]",,,"[""reward"",""reward"",""reward"",""reward""]",,22625,686a98267ea25a2fa9f8158e,67eda7cef014b05ef5504c28,686a88d9a373fa0112df081c,3,small_car,small,#822cd1,,,,,,,,,,,,,,"[""down"",""down"",""left"",""up""]",pickup_truck,16,15
1,,,,4,0,"[""left"",""left"",""up"",""right""]",,,"[""reward"",""reward"",""reward"",""reward""]",,12642,686a98267ea25a2fa9f8158e,67eda7cef014b05ef5504c28,686a88d9a373fa0112df081c,4,small_car,small,#ebeb5e,,,,,,,,,,,,,,"[""left"",""left"",""up"",""right""]",pickup_truck,16,15
1,,,,4,0,"[""left"",""left"",""down"",""right""]",,,"[""reward"",""reward"",""reward"",""reward""]",,14225,686a98267ea25a2fa9f8158e,67eda7cef014b05ef5504c28,686a88d9a373fa0112df081c,5,truck,medium,#ebeb5e,,,,,,,,,,,,,,"[""left"",""down"",""left"",""up""]",pickup_truck,16,15
1,,,,4,0,"[""right"",""down"",""down"",""left""]",,,"[""reward"",""reward"",""reward"",""reward""]",,11318,686a98267ea25a2fa9f8158e,67eda7cef014b05ef5504c28,686a88d9a373fa0112df081c,6,truck,medium,#FF99CC,,,,,,,,,,,,,,"[""right"",""down"",""down"",""left""]",pickup_truck,16,15
1,,,,4,0,"[""left"",""left"",""down"",""right""]",,,"[""reward"",""reward"",""reward"",""reward""]",,12683,686a98267ea25a2fa9f8158e,67eda7cef014b05ef5504c28,686a88d9a373fa0112df081c,7,small_car,small,#822cd1,,,,,,,,,,,,,,"[""left"",""left"",""down"",""right""]",pickup_truck,16,15
1,,,,4,0,"[""up"",""left"",""left"",""up""]",,,"[""reward"",""reward"",""reward"",""reward""]",,12288,686a98267ea25a2fa9f8158e,67eda7cef014b05ef5504c28,686a88d9a373fa0112df081c,8,big_car,big,#2ca02c,,,,,,,,,,,,,,"[""up"",""left"",""left"",""up""]",pickup_truck,16,15
1,,,,4,0,"[""up"",""up"",""left"",""down""]",,,"[""reward"",""reward"",""reward"",""reward""]",,10659,686a98267ea25a2fa9f8158e,67eda7cef014b05ef5504c28,686a88d9a373fa0112df081c,9,small_car,small,#FF5733,,,,,,,,,,,,,,"[""up"",""left"",""up"",""right""]",pickup_truck,16,15
